seed_channel,x_center_hodo,y_center_hodo,a_eta,b_eta,a_phi,b_phi,ChargeSeedHistoCenter,GaussianFitValueCenter,IntercalibrationFactor
369,-0.30438,5.67088,52.01384,0.04545,5.25777,-0.04545,10003,10019.8058887130,0.90946
231,0.60481,2.09164,53.97251,0.04545,7.09507,-0.04545,9270,9334.5995412233,0.84726
230,-0.84784,4.48274,54.03854,0.04545,6.20376,-0.04545,10742,10772.1829997861,0.97775
238,0.23751,2.17401,52.98920,0.04545,7.09882,-0.04545,9635,9686.9968195432,0.87925
239,-2.86419,4.50199,53.13019,0.04545,6.20464,-0.04545,10922,11017.3570476037,1.00000
240,-0.96479,3.86130,52.04385,0.04545,6.17551,-0.04545,10310,10337.7682207195,0.93832
241,-0.27866,2.41317,52.01267,0.04545,7.10969,-0.04545,9472,9636.7128231641,0.87468
359,-0.26191,5.58099,54.01190,0.04545,5.25368,-0.04545,9348,9508.1869374323,0.86302
360,-0.13758,5.49237,53.00625,0.04545,5.24965,-0.04545,9718,9681.2549380162,0.87873
